country,iso3,region,source_type,year,prophet_forecast_mw_x,lr_forecast_mw,prophet_forecast_mw_y,sarima_forecast_mw,xgb_forecast_mw,lgbm_forecast_mw,hybrid_forecast_mw,ensemble_forecast_mw,recommended_forecast_mw,best_model
India,IND,Asia,Biomass,2025,23007.585490805654,17342.393081081078,23007.585490805654,19583.35374836668,11935.134189453125,12271.607150718435,23408.149981044826,12559.22880403823,12559.22880403823,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Biomass,2026,25240.917340339976,18714.877040540538,25240.917340339976,21525.30765281128,12673.710910644531,12963.755831572185,25641.48183057915,13365.458554188745,13365.458554188745,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Biomass,2027,27479.194043950476,20140.60627027027,27479.194043950476,23576.1860937063,13250.850559082031,13575.3216387256,27879.75853418965,14039.361163298487,14039.361163298487,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Biomass,2028,29688.327433661358,21619.58077027027,29688.327433661358,25734.59004081065,13863.366306152344,13917.286619454359,30088.89192390053,14731.058011619787,14731.058011619787,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Biomass,2029,31841.750606377427,23151.800540540542,31841.750606377427,27998.576336711947,14586.885532226563,14758.863806951138,32242.3150966166,15552.262940504363,15552.262940504363,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Hydro,2025,53133.45286794114,51337.69672072071,53133.45286794114,49990.596669259685,48059.67615966797,48309.89501375062,52941.747960035864,48914.873658841476,48914.873658841476,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Hydro,2026,54230.09688016247,52280.68027702702,54230.09688016247,50630.990077800765,48402.228527832034,49197.83362145941,54038.391972257195,49398.156693864825,49398.156693864825,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Hydro,2027,55316.29972469175,53214.80595795795,55316.29972469175,51242.39743693666,48915.183911132815,50147.97955203499,55124.59481678648,49978.34486148182,49978.34486148182,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Hydro,2028,56390.88187989053,54140.07376351351,56390.88187989053,51825.719514094926,49870.5211303711,50715.592623542456,56199.17697198525,50824.864300570815,50824.864300570815,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Hydro,2029,57455.60806417375,55056.483693693684,57455.60806417375,52381.87669709551,50469.628918457034,51234.80740260227,57263.903156268476,51441.24521027797,51441.24521027797,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Solar,2025,143964.80260722182,97576.32,143964.80260722182,1570884.606134174,124788.92546875,135049.87112675488,131035.66453814307,135049.8711197261,135049.8711197261,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Solar,2026,154573.6761373308,97576.32,154573.6761373308,3116252.0720726056,156089.032890625,171533.01171334926,141644.53806825206,171533.01170044803,171533.01170044803,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Solar,2027,162040.67741978783,97576.32,162040.67741978783,6280552.889739329,190574.978203125,193436.4133254475,149111.5393507091,193436.41331109617,193436.41331109617,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Solar,2028,167088.04935994928,106828.53872246288,167088.04935994928,12864685.83014718,228288.653984375,218266.7513898844,154158.91129087054,218266.75137332914,218266.75137332914,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Solar,2029,170414.55212466084,116959.56747718682,170414.55212466084,26791632.216870558,262992.470390625,239796.81816562213,157485.4140555821,239796.8181474236,239796.8181474236,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Wind,2025,62275.53258776846,60844.36733333334,62275.53258776846,54038.723128598846,50623.30721679688,49915.99475298801,61814.23570316796,51269.309146728556,51269.309146728556,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Wind,2026,66254.75476234856,65289.293000000005,66254.75476234856,56509.25461388132,53350.37533203125,52465.63096807809,65793.45787774805,53917.903598966266,53917.903598966266,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Wind,2027,70133.2986374405,69892.80755555557,70133.2986374405,58877.424993843204,55847.16732421875,54115.454593573406,69672.00175283999,55815.25158545347,55815.25158545347,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Wind,2028,73876.30466553668,74654.91100000001,73876.30466553668,61139.54621834991,58962.24862304688,55061.66412197189,73415.00778093617,57117.99545438214,57117.99545438214,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
India,IND,Asia,Wind,2029,77463.5554928891,79575.60333333333,77463.5554928891,63293.43462066135,61475.8250390625,56532.2216506616,77002.2586082886,58823.75647004956,58823.75647004956,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Biomass,2025,4027.6358411006986,4528.288072072072,4027.6358411006986,3367.9300000000003,3407.6659161376956,3653.4906810664233,4061.686203141976,3548.3071476225796,3548.3071476225796,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Biomass,2026,4103.14452195135,4715.763452702703,4103.14452195135,3367.9300000000003,3495.296737365723,4647.130830092597,4137.194883992627,3705.2092814966286,3705.2092814966286,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Biomass,2027,4179.62817748933,4905.653795795796,4179.62817748933,3367.9300000000003,3653.200545959473,4960.165210859996,4213.678539530607,3876.633195483268,3876.633195483268,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Biomass,2028,4257.082959976822,5097.959101351352,4257.082959976822,3367.9300000000003,3811.0417477416995,5453.498650972769,4291.1333220180995,4059.8458810093234,4059.8458810093234,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Biomass,2029,4335.720523105881,5292.67936936937,4335.720523105881,3367.9300000000003,3969.7311398315433,5716.062462897554,4369.770885147158,4229.21648058443,4229.21648058443,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Hydro,2025,19246.433909399188,19315.443405405404,19246.433909399188,19207.427613265143,18975.66659992218,18969.43,19191.052238055152,19073.32047181996,19073.32047181996,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Hydro,2026,19347.175884138407,19436.8774527027,19347.175884138407,19304.39381119953,19032.95624988556,19006.022892181805,19291.79421279437,19147.883921704964,19147.883921704964,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Hydro,2027,19447.87401461419,19558.972018018016,19447.87401461419,19400.187979725077,19240.276302986145,19571.257213882902,19392.492343270154,19315.492931165165,19315.492931165165,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Hydro,2028,19548.522409358,19681.72710135135,19548.522409358,19494.816250176216,19581.25164478302,19805.99753935434,19493.140738013964,19565.96401056753,19565.96401056753,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Hydro,2029,19649.390703446297,19805.142702702702,19649.390703446297,19588.28501100503,19939.27819507599,19805.99753935434,19594.00903210226,19826.771842073922,19826.771842073922,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
